x,y
5739,9448
5739,10057
5740,9015
5740,9147
5740,9964
5741,2771
5741,3539
5741,5112
5741,7780
5741,9446
5741,9672
5741,10151
5741,10196
5742,3497
5742,3537
5742,10260
5743,9560
5744,6736
5744,7652
5744,8150
5745,4552
5745,7951
5746,9476
5746,10072
5747,3572
5747,8041
5747,10085
5749,4798
5749,8230
5750,5215
5750,8978
5750,9332
5751,8586
5751,9319
5752,3856
5752,4131
5752,5599
5752,9611
5753,3771
5753,4764
5753,5240
5753,5342
5753,7817
5753,9508
5754,4061
5754,9646
5755,4298
5755,4605
5755,7042
5755,10045
5756,3719
5757,3603
5757,3809
5757,5454
5757,7204
5757,8283
5757,10283
5758,4354
5758,8613
5759,2933
5759,3372
5759,5673
5759,7460
5759,9263
5759,10327
5760,2750
5760,7259
5760,8006
5760,9129
5760,9185
5761,3233
5761,10088
5761,10320
5762,8952
5762,9066
5762,9079
5762,9296
5762,9622
5762,9847
5763,2968
5763,6602
5763,7883
5763,8345
5764,5541
5764,7367
5766,2878
5766,7100
5767,4729
5767,7135
5767,10065
5768,3178
5768,9234
5769,2667
5769,4145
5769,4889
5769,4951
5769,5013
5769,5609
5769,8024
5769,8883
5770,9892
5771,3618
5771,5324
5771,9493
5771,9823
5772,5682
5772,8070
5772,9297
5772,9328
5772,9917
5772,10208
5773,3523
5773,5273
5773,9285
5773,9400
5773,9667
5773,9717
5773,10175
5774,4509
5774,7775
5774,9357
5774,9425
5774,10092
5775,2710
5775,7545
5775,7621
5775,7805
5775,9041
5775,10225
5777,8919
5778,3649
5778,7154
5778,9738
5779,5124
5779,9204
5779,10034
5780,2821
5780,6527
5780,6637
5780,7657
5780,8211
5781,8976
5782,3465
5782,3701
5782,5252
5782,7584
5782,9577
5783,4426
5784,3038
5784,4196
5784,5808
5784,9450
5784,10249
5785,3432
5785,3763
5785,3934
5785,5703
5785,6558
5785,7173
5786,4465
5787,3834
5787,8613
5788,6713
5788,9600
5789,4587
5789,7914
5789,9966
5789,10181
5790,2777
5790,5361
5791,5021
5791,10072
5792,3514
5792,3622
5792,9504
5792,9698
5793,3564
5793,4661
5793,4900
5793,5224
5793,7792
5794,7708
5794,10033
5795,3398
5795,3780
5795,5881
5795,10215
5796,7732
5796,8682
5797,7127
5798,4249
5798,4344
5798,7279
5798,9879
5798,9941
5798,10290
5799,3265
5799,3470
5799,5948
5799,9266
5800,3363
5800,3364
5800,7946
5800,8222
5800,9095
5800,9555
5800,9980
5801,3344
5801,7615
5802,2895
5802,4093
5802,4310
5802,7202
5802,8069
5802,9754
5803,5636
5803,7152
5803,9327
5803,9782
5804,5345
5804,7990
5804,9130
5804,9917
5805,2948
5805,3310
5805,4157
5805,7103
5805,8257
5805,9217
5805,9231
5805,9518
5806,7329
5806,8037
5806,10101
5807,3164
5807,9398
5808,3205
5808,7845
5809,4985
5809,5401
5809,10150
5810,3549
5810,5544
5810,5969
5810,7492
5811,2808
5811,3446
5811,3665
5811,3749
5811,9615
5811,10266
5812,4035
5812,4865
5812,5234
5812,5929
5812,8864
5813,2750
5813,3098
5813,4123
5813,4540
5813,7236
5813,7347
5813,8898
5814,5455
5814,9721
5815,5062
5815,5298
5815,9015
5816,3513
5817,5118
5817,7730
5817,8129
5817,8843
5817,9671
5818,3487
5818,3673
5818,4365
5818,6506
5818,7389
5818,7442
5818,9855
5819,2665
5819,3585
5819,9474
5819,9819
5820,3988
5821,4944
5821,5049
5821,5498
5821,6704
5821,7050
5822,3411
5822,4790
5822,9776
5822,10060
5823,5906
5823,9688
5824,9403
5824,9948
5824,10299
5825,3286
5825,9515
5826,3341
5826,8189
5827,4230
5827,5016
5827,5021
5828,3719
5828,4070
5828,5133
5828,8794
5828,10270
5829,3386
5829,3831
5829,5432
5829,6542
5829,9736
5830,3640
5830,4968
5830,8400
5830,9293
5831,7886
5831,9272
5831,9927
5832,7886
5832,9537
5833,2570
5833,3112
5833,5739
5833,7907
5833,8983
5833,9577
5833,9791
5834,7358
5834,7774
5834,8429
5835,3764
5835,3975
5835,5128
5835,5165
5835,10100
5836,4196
5836,5093
5836,7374
5836,7556
5836,9318
5836,10197
5836,10289
5837,3049
5837,6642
5837,8094
5838,3296
5838,5719
5839,2720
5839,5696
5839,9620
5839,9970
5839,10242
5840,7967
5840,9186
5840,9892
5841,3250
5841,5357
5841,7180
5841,9387
5842,5005
5842,5923
5842,9204
5843,4565
5843,5257
5843,7138
5843,7823
5843,8305
5843,8836
5843,9750
5843,10257
5844,3623
5844,4615
5844,5298
5844,7705
5844,8716
5845,3162
5845,5999
5846,3003
5846,5396
5846,5454
5846,8368
5846,9688
5847,2763
5847,3752
5847,3866
5847,4453
5847,4643
5847,9453
5847,10092
5848,9726
5849,3247
5849,3271
5849,3918
5849,5328
5849,8003
5849,9248
5849,10146
5850,7865
5851,8329
5851,9600
5852,4830
5852,4912
5852,5235
5853,4764
5853,7402
5854,4699
5854,10056
5855,5835
5855,7119
5855,7224
5855,7756
5855,10247
5856,3947
5856,4187
5856,7685
5856,9301
5856,9701
5857,9074
5857,10288
5858,3526
5858,3557
5858,4249
5858,4499
5858,8043
5859,3501
5859,3640
5859,5735
5859,8117
5859,9432
5859,9808
5860,3213
5860,5391
5860,5575
5860,9768
5861,8419
5861,9803
5862,5499
5862,7792
5862,9847
5862,9911
5863,2802
5863,4422
5863,4622
5863,8982
5863,9877
5864,4422
5864,7310
5864,9553
5865,3797
5865,5748
5865,10196
5866,3061
5866,3179
5866,3740
5866,7940
5866,8894
5866,9744
5867,2937
5867,3855
5867,5199
5867,7657
5867,8960
5868,7713
5869,3384
5869,7165
5870,3331
5870,4149
5870,8101
5870,10229
5871,5796
5871,7899
5871,8761
5871,9316
5871,10293
5872,4054
5872,5374
5872,7601
5872,8547
5872,9463
5872,10260
5873,4669
5873,5705
5873,8292
5873,9270
5873,9520
5874,8231
5874,9101
5874,9241
5874,9690
5874,9970
5875,3424
5875,5474
5875,5901
5875,7071
5876,3634
5876,4768
5876,10003
5876,10219
5877,3416
5877,5068
5877,8880
5877,9775
5878,4801
5878,9037
5878,9675
5878,9937
5878,10286
5879,5946
5879,9382
5880,3151
5880,3168
5880,3754
5880,4334
5881,4746
5881,7148
5881,8688
5882,3608
5882,4356
5882,5240
5882,5628
5882,7755
5882,9862
5883,3230
5883,4992
5883,5441
5883,9656
5884,7233
5884,7423
5885,3360
5885,4079
5885,4948
5885,5300
5885,7861
5885,9358
5885,9711
5886,2736
5886,4692
5886,5173
5887,8939
5887,9410
5888,7246
5888,7467
5889,3823
5889,4291
5889,9134
5889,9824
5890,4884
5890,5035
5890,7777
5890,7800
5890,10088
5890,10253
5890,10277
5891,9499
5891,9598
5892,3249
5892,4383
5892,5118
5892,9322
5892,9689
5893,3161
5893,5810
5893,7716
5893,7840
5894,4210
5894,8115
5894,8201
5895,4719
5895,5089
5895,5379
5895,5784
5895,7635
5895,9111
5896,3081
5896,7952
5897,4118
5897,8924
5898,7150
5898,7655
5898,7999
5898,9542
5900,7342
5900,9036
5900,9444
5900,10015
5901,4423
5902,3540
5902,9714
5902,10037
5903,3667
5903,9753
5904,2789
5904,3131
5904,5899
5904,8636
5904,9628
5905,4001
5905,5338
5905,9002
5906,10142
5907,7901
5907,9706
5908,5748
5908,7513
5908,7823
5908,8378
5908,9256
5908,10261
5909,3169
5909,3814
5909,4999
5909,5427
5909,7126
5909,7791
5909,9727
5910,2950
5910,5061
5911,3300
5911,3767
5911,4562
5911,5492
5911,5594
5911,7182
5911,7674
5911,9588
5911,9944
5912,3913
5912,9273
5913,9212
5914,3943
5914,4135
5914,4597
