x,y
5826,1350
413,10751
8419,4442
4317,8968
7196,20891
9440,14145
10744,13211
10215,5722
12079,4397
2279,7154
14035,12069
10052,5416
6807,5198
11615,11533
9730,12076
8245,4619
5738,6660
9010,7394
3437,7417
7689,712
4225,3856
9418,14571
6387,17544
14326,4951
8098,2651
2351,9390
2281,7086
8184,21654
6523,23145
11052,15120
12745,18967
7398,4252
7762,13084
8331,16172
8242,4799
10780,4473
10068,7229
6963,6247
10589,2392
9729,3166
10629,2958
2045,9456
3408,7154
9095,15592
9074,18430
8114,14387
10171,14500
12940,3586
11904,21053
12775,9211
14017,10557
6931,20563
6797,14518
13784,10255
6841,4757
10306,3301
6048,16797
433,8332
12389,11185
7348,19276
7180,20712
6123,6097
13393,3528
2401,14736
6924,17692
16090,19856
16042,20711
7380,16763
7670,21933
4097,13712
12179,11258
7194,18798
11118,13021
9599,9802
10172,16594
7095,12403
7774,22885
8770,16294
6489,15202
13367,4841
14296,4201
7285,6542
10130,8906
11119,7623
2163,9776
9298,20712
8668,19651
16149,15177
14436,15509
15136,16369
13052,21452
6524,22392
12706,21923
6808,22324
6961,22313
15124,4032
10609,3276
7342,3852
9382,2518
4947,2696
8404,1508
6631,3859
6925,4207
14686,3690
9126,8625
5915,3960
11801,4032
4116,10073
10212,3462
14454,1288
9206,3435
13659,4550
3722,1287
8420,1659
9356,1269
13952,11559
12221,13981
10058,11231
4271,590
13574,9942
6936,21125
11703,10993
7344,3975
11562,12175
8556,7377
2722,6729
4401,7481
4329,7094
9506,10073
13285,12288
9533,19665
6205,2495
840,11117
14676,3756
5553,2152
9509,4479
10036,5104
9080,2438
2411,8417
7662,4470
11422,6323
7908,14342
4283,16024
2240,8798
6469,19224
2274,10511
11004,16298
8174,15178
7598,11336
3099,8971
10298,10805
5522,22885
2457,7494
4220,9040
10544,10194
5603,11372
5875,10278
3466,7814
6217,1002
10470,15077
10781,5761
11594,3196
12958,21287
7435,2146
10986,2262
9900,3766
7432,1951
7696,2856
9685,12018
7136,4726
10145,13401
10973,12544
6443,22486
3481,10269
10280,9303
8182,14472
1389,13253
3952,10165
10309,11557
4917,2941
3514,9663
5395,7338
4031,10632
997,7983
599,11082
3771,7336
6808,10485
4831,7440
11499,13492
7201,21847
13802,15051
11228,20707
7593,21785
16237,15569
12558,20582
12516,18069
16507,15856
16758,16099
10755,19902
9460,19488
14240,19212
13663,17470
15907,14968
13357,19436
12665,19172
15740,15480
13204,20141
16926,16335
10739,19071
16833,15998
10924,10800
10712,18541
14317,20292
6956,4111
16446,16767
17909,11730
10681,14631
16161,13501
4524,5944
6113,3790
12673,3582
11024,6191
14043,21794
12814,4744
3631,12268
2202,9875
9099,13763
13464,12450
3815,7518
6173,13657
15761,10703
11318,10762
3313,14613
11449,10041
10062,13548
7025,7560
13072,11285
9658,9906
4171,9353
12946,6280
10273,7524
10141,9909
11303,9884
3022,6825
9377,11778
14063,20019
11548,20772
13568,12259
10665,15220
8002,22018
15318,17425
12691,18691
8463,21907
2692,6476
14359,22780
3518,10342
9749,21116
10727,8569
13570,1858
9367,17941
7472,19906
9451,3321
13729,21861
6646,3700
10488,16816
6091,9045
10071,1279
12668,7289
8475,2354
5318,3696
13028,5340
14348,19817
11185,14407
12097,16750
3090,8316
10937,13419
9326,10322
9352,11579
7686,7248
14057,14546
12786,3259
16326,16601
14027,11632
16060,17235
10483,2551
8284,3654
7120,2294
5717,4137
2798,5714
7335,4711
15507,17612
12778,13486
13349,20439
12896,11100
15636,17748
15417,16331
2722,8193
4273,6638
14319,17771
5130,6000
12829,9797
11670,4675
10977,16574
14084,11243
13349,11324
13844,2566
10873,3049
16048,17012
16216,17016
1956,8107
5190,6396
939,8372
7293,1638
2762,8539
14251,18396
16378,16794
8699,1226
16232,20113
3276,8183
15425,19901
16334,16949
8070,19984
6363,8406
4382,7374
9662,2013
12056,6398
8626,17922
