x,y
18192.000000,8954.000000
18192.000000,9856.000000
18192.000000,11319.000000
18272.000000,8624.000000
18416.000000,7348.000000
18416.000000,8294.000000
1200.000000,7370.000000
1200.000000,8184.000000
1200.000000,10912.000000
1200.000000,11440.000000
17904.000000,572.000000
17904.000000,2684.000000
17904.000000,6908.000000
17904.000000,7348.000000
17904.000000,8624.000000
8272.000000,308.000000
8272.000000,2068.000000
8272.000000,2508.000000
8272.000000,3080.000000
8272.000000,3608.000000
8272.000000,5302.000000
8336.000000,7260.000000
8464.000000,7260.000000
8496.000000,9548.000000
8496.000000,10582.000000
8496.000000,11440.000000
15888.000000,9064.000000
15888.000000,9504.000000
15888.000000,10252.000000
15888.000000,11000.000000
15936.000000,8184.000000
16048.000000,8184.000000
16208.000000,8184.000000
16336.000000,572.000000
16336.000000,1012.000000
16336.000000,1452.000000
16336.000000,2992.000000
16336.000000,4818.000000
16336.000000,6028.000000
16336.000000,7348.000000
1040.000000,7370.000000
1040.000000,8184.000000
1040.000000,10912.000000
1040.000000,11440.000000
4464.000000,308.000000
4640.000000,308.000000
4816.000000,308.000000
4944.000000,308.000000
5168.000000,308.000000
5440.000000,308.000000
5616.000000,308.000000
5728.000000,308.000000
5808.000000,3080.000000
5808.000000,3608.000000
5808.000000,4664.000000
5808.000000,5368.000000
5808.000000,6072.000000
5808.000000,7128.000000
5936.000000,9658.000000
5936.000000,11286.000000
16848.000000,572.000000
16848.000000,1452.000000
16848.000000,2992.000000
16848.000000,4708.000000
16848.000000,6028.000000
16848.000000,7348.000000
16848.000000,8514.000000
16848.000000,9284.000000
16848.000000,9922.000000
16848.000000,11198.000000
8240.000000,7480.000000
8400.000000,9548.000000
8400.000000,10582.000000
8400.000000,11440.000000
1520.000000,9152.000000
1520.000000,10912.000000
1520.000000,11440.000000
1584.000000,6446.000000
1584.000000,7590.000000
1584.000000,8294.000000
5168.000000,11440.000000
5280.000000,11440.000000
5456.000000,11440.000000
5584.000000,11440.000000
5712.000000,11440.000000
2672.000000,6336.000000
2784.000000,6556.000000
2976.000000,6556.000000
3104.000000,6556.000000
3264.000000,6556.000000
3360.000000,6556.000000
3600.000000,6556.000000
3856.000000,6556.000000
3920.000000,6556.000000
4016.000000,6556.000000
4144.000000,6556.000000
4208.000000,6556.000000
4352.000000,6556.000000
4464.000000,6556.000000
4560.000000,6556.000000
4688.000000,6556.000000
4720.000000,7260.000000
4720.000000,8140.000000
4720.000000,9702.000000
4720.000000,10582.000000
4720.000000,11132.000000
17008.000000,572.000000
17008.000000,1452.000000
17008.000000,2992.000000
17008.000000,5874.000000
17008.000000,7348.000000
17072.000000,8096.000000
17136.000000,8096.000000
17280.000000,8096.000000
17456.000000,8096.000000
17520.000000,8404.000000
17520.000000,8954.000000
17520.000000,10142.000000
17520.000000,11319.000000
880.000000,7370.000000
880.000000,8184.000000
880.000000,11440.000000
4144.000000,4840.000000
4144.000000,7700.000000
4304.000000,8360.000000
4416.000000,8360.000000
4576.000000,8360.000000
4656.000000,8360.000000
4864.000000,8360.000000
5040.000000,8360.000000
5296.000000,8360.000000
5456.000000,8844.000000
5456.000000,9812.000000
5520.000000,3608.000000
5520.000000,4664.000000
5520.000000,5368.000000
5520.000000,5918.000000
5520.000000,6930.000000
16560.000000,8954.000000
16560.000000,9922.000000
16592.000000,572.000000
16592.000000,1452.000000
16592.000000,2992.000000
16592.000000,4818.000000
16592.000000,6138.000000
16592.000000,7348.000000
7728.000000,7744.000000
7728.000000,9548.000000
7728.000000,10846.000000
7792.000000,7040.000000
7856.000000,7040.000000
7952.000000,7040.000000
8016.000000,308.000000
8016.000000,2068.000000
8016.000000,2508.000000
8016.000000,3080.000000
8016.000000,3608.000000
8016.000000,4268.000000
8016.000000,5852.000000
16272.000000,9064.000000
16272.000000,9504.000000
16272.000000,9922.000000
16272.000000,11000.000000
16640.000000,8844.000000
16720.000000,8844.000000
16784.000000,6028.000000
16784.000000,7348.000000
16784.000000,8514.000000
464.000000,11440.000000
528.000000,8184.000000
640.000000,8184.000000
784.000000,7370.000000
784.000000,7964.000000
7664.000000,6446.000000
7664.000000,8074.000000
7664.000000,9548.000000
7664.000000,10846.000000
7728.000000,308.000000
7728.000000,2068.000000
7728.000000,2508.000000
7728.000000,3080.000000
7728.000000,3608.000000
7728.000000,4048.000000
7728.000000,4488.000000
5232.000000,3608.000000
5232.000000,4664.000000
5232.000000,5368.000000
5232.000000,5918.000000
5232.000000,6776.000000
5520.000000,7920.000000
3856.000000,7480.000000
3920.000000,7920.000000
4016.000000,7920.000000
4176.000000,9152.000000
4176.000000,9922.000000
4176.000000,10472.000000
4176.000000,10912.000000
4176.000000,11440.000000
5984.000000,748.000000
6096.000000,3080.000000
6096.000000,3608.000000
6096.000000,4664.000000
6160.000000,5368.000000
6224.000000,5368.000000
6320.000000,5368.000000
6496.000000,5368.000000
6608.000000,5698.000000
